업종,사업장수,월회전율중앙값,p25,p75,p90
그 외 기타 전기장비 제조업,18,0.01813,0.00746,0.038,0.05556
수산동물 건조 및 염장품 제조업,86,0.0181,0.01136,0.03125,0.05505
전동기 및 발전기 제조업,120,0.01778,0.00781,0.03271,0.05319
일반 서적 출판업,115,0.0177,0.0073,0.03077,0.05556
기타 항공 운송지원 서비스업,21,0.01765,0.00991,0.02391,0.03676
시각 디자인업,21,0.01765,0.01389,0.03261,0.04545
금속 캔 및 기타 포장용기 제조업,41,0.01754,0.01163,0.03,0.0411
기타 목재 가구 제조업,67,0.01754,0.00667,0.03623,0.04839
기타 일반 기계 및 장비 수리업,31,0.01754,0.00352,0.04098,0.06122
공인회계사업(기장대리) / 기타 회계 관련 서비스업,12,0.0175,0.0,0.03175,0.04839
선박 구성 부분품 제조업,360,0.01745,0.00926,0.0339,0.05556
산업용 냉장 및 냉동장비 제조업,395,0.01744,0.00862,0.03571,0.06667
택배업,52,0.01739,0.01279,0.04167,0.05172
포장용 플라스틱 성형용기 제조업,329,0.01724,0.00893,0.03571,0.05714
변압기 제조업,8,0.01721,0.0098,0.03061,0.5
항공기용 부품 제조업,54,0.01721,0.00781,0.03162,0.04839
완제 의약품 제조업,171,0.01716,0.01108,0.02941,0.04237
건강 보조식품 소매업,14,0.01697,0.0102,0.0566,0.09659
컴퓨터 제조업,179,0.01695,0.00758,0.03226,0.05
과자류 및 코코아 제품 제조업,63,0.01695,0.01149,0.03589,0.05714
통신 재판매업,27,0.01695,0.0095,0.03759,0.04688
화학 살균ㆍ살충제 및 농업용 약제 제조업,20,0.01688,0.01194,0.03911,0.0625
서적  신문 및 잡지류 소매업,11,0.01682,0.00735,0.07143,0.10897
주류 도매업,70,0.01681,0.01058,0.04098,0.06522
모바일 게임 소프트웨어 개발 및 공급업,20,0.0168,0.0098,0.04054,0.05714
