자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,한국환경기계분석연구원 (주),물질 성분 검사 및 분석업,경상남도,법인,58,17501640,0,1
2026-07,루브리졸코리아 주식회사,석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,서울특별시,법인,38,22393620,0,0
2026-07,주식회사 엔씨,응용 소프트웨어 개발 및 공급업,경기도,법인,3439,1996358020,56,34
2026-07,주식회사 제이앤티지,BIZ_NO미존재사업장,경기도,법인,127,49106260,7,5
2026-07,주식회사 무경/일용/울산 라엘에스 기계/소화설비공사,배관 및 냉ㆍ난방 공사업,울산광역시,법인,45,20102320,18,0
2026-07,금풍건설이엔씨주식회사-(일용)신한울배수로(신한울3 4호기 설비공사 중 배수로 배수조 및 GIB/CV터널 축조,유리 및 창호 공사업,경상북도,법인,61,30325340,0,0
2026-07,(주)로담신한옥,목재 도구 및 주방용 나무제품 제조업,충청북도,법인,31,8853000,3,0
2026-07,(주)원앤씨,치약  비누 및 기타 세제 제조업,충청북도,법인,189,53093080,1,20
2026-07,（주） 지티일렉콘/일용/화성동탄 2 A78블록 민간참여 공공주택사업 중 전기 통신 소방공사,일반 전기 공사업,경기도,법인,35,16172000,8,0
2026-07,모아코리아주식회사,그 외 자동차용 신품 부품 제조업,경기도,법인,75,21699100,10,2
2026-07,삼성척재활의학과의원,일반의원,서울특별시,개인,30,10808680,1,1
2026-07,충북대학교,비주거용 건물 임대업(점포  자기땅),충청북도,법인,146,40110980,6,9
2026-07,구우정보기술(주),응용 소프트웨어 개발 및 공급업,서울특별시,법인,32,11091120,0,0
2026-07,(주)노원문고,서적  신문 및 잡지류 소매업,서울특별시,법인,78,13425160,11,6
2026-07,엘엔피주식회사,그 외 기타 분류 안된 사업 지원 서비스업(기타임가공,경기도,법인,58,15713920,0,0
2026-07,한전케이디엔(주),배관 및 냉ㆍ난방 공사업,전남광주통합특별시,법인,3783,1743038120,276,141
2026-07,이레토탈서비스주식회사,전자상거래 소매업,대전광역시,법인,67,19012540,12,6
2026-07,생명보험협회(사),BIZ_NO미존재사업장,서울특별시,법인,136,79525520,1,0
2026-07,두원이엔지 주식회사/일용/평택캠퍼스 개보수 공사 중 일반전기공사 1공구,기타 엔지니어링 서비스업,경기도,법인,148,63545580,7,0
2026-07,주안초등학교 (직장),비주거용 건물 임대업(점포  자기땅),인천광역시,법인,37,10772340,0,0
2026-07,(주)드림솔,기타 반도체 소자 제조업,경기도,법인,172,63610120,6,4
2026-07,주식회사 동아엠텍,BIZ_NO미존재사업장,서울특별시,법인,164,67268200,2,2
2026-07,(주)신흥정밀 서울사무소,기타 반도체 소자 제조업,서울특별시,법인,33,14084360,2,0
2026-07,(주)엘지생활건강,화장품 제조업,서울특별시,법인,3948,2266326960,12,19
2026-07,（재）예수의꽃동네유지재단,BIZ_NO미존재사업장,충청북도,법인,35,5558340,0,0
2026-07,(주)대경이앤씨,배관 및 냉ㆍ난방 공사업,경상북도,법인,31,12704940,5,4
2026-07,주식회사 빅바이트컴퍼니,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,경기도,법인,833,175792520,104,103
2026-07,회천농업협동조합,기타 금융 투자업,경기도,법인,110,54630220,2,0
2026-07,(주)브레인센터,고용 알선업,경기도,법인,38,8032800,6,1
2026-07,일신해운(주)창원지점,일반 화물 자동차 운송업,경상남도,법인,61,22627960,2,1
2026-07,백제상운 주식회사,시내버스 운송업 / 시외버스 운송업,인천광역시,법인,32,5503600,2,0
2026-07,(주)소노인터내셔널춘천지점삼악산호수케이블카,기타 음ㆍ식료품 위주 종합 소매업,강원특별자치도,법인,39,11519780,3,1
2026-07,주식회사 파주현대상용서비스,그 외 기타 개인 및 가정용품 수리업,경기도,법인,33,9183940,4,1
2026-07,에스케이실트론주식회사,기타 반도체 소자 제조업,경상북도,법인,3480,2044754700,33,26
2026-07,주식회사 하이어코퍼레이션,의료 기기 도매업,대구광역시,법인,36,15959360,2,0
2026-07,치휴한방병원,한방병원,서울특별시,개인,37,11944260,5,4
2026-07,주식회사디자인여백플러스,스크린 인쇄업,서울특별시,법인,30,11393960,0,0
2026-07,(주)GFC Korea,BIZ_NO미존재사업장,부산광역시,법인,30,13269480,0,7
2026-07,(주)경수제철건설/일용/대구롯데쇼핑타운개발계획 신축공사 중 지상층 철골공사,육상 금속 골조 구조재 제조업,대구광역시,법인,31,16338800,7,0
2026-07,주식회사 카츠쇼신,미디어콘텐츠창작업,경기도,법인,35,8940800,2,2
2026-07,주식회사 케이디헬스케어,상품 종합 도매업,서울특별시,법인,64,19365860,0,5
2026-07,부석농업협동조합,육류 도축업(가금류 제외) / 가금류 도축업,충청남도,법인,88,34043580,18,1
2026-07,회계법인창천,공인회계사업,서울특별시,법인,54,22203620,1,1
2026-07,(주)제일테크노스/일용/용인 Cluster 1기 구축공사 중 Deck plate공사_1공구,금속 문  창  셔터 및 관련제품 제조업,경기도,법인,34,14737220,3,0
2026-07,（주）제이원라인,그 외 기타 분류 안된 사업 지원 서비스업(기타임가공,인천광역시,법인,37,16099320,0,0
2026-07,주식회사윈테크,기타 반도체 소자 제조업,경상남도,법인,106,34463460,3,1
2026-07,(주)아이에스피,물질 검사  측정 및 분석 기구 제조업,전북특별자치도,법인,48,22785600,2,4
2026-07,(주)청해진건설-(일용)JB금융그룹 신사옥 개발사업 중 골조공사,유리 및 창호 공사업,서울특별시,법인,89,42213540,9,0
2026-07,이화여자대학교,비주거용 건물 임대업(점포  타인땅),서울특별시,법인,1488,247347060,28,25
2026-07,국제강재(주),기타 섬유  의복 및 가죽 가공기계 제조업,서울특별시,법인,50,22887540,0,2
